"filename", "language", "C#", "JSON", "Shaderlab", "comment", "blank", "total"
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\BoundBoxes\scr_passThroughFloor.cs", "C#", 17, 0, 0, 0, 2, 19
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\BoundBoxes\scr_solidWall.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\Main(GLOBALS)\scr_entityController.cs", "C#", 107, 0, 0, 16, 16, 139
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\Main(GLOBALS)\scr_levelController.cs", "C#", 57, 0, 0, 5, 13, 75
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Button_Press.cs", "C#", 18, 0, 0, 1, 5, 24
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Camera.cs", "C#", 11, 0, 0, 2, 2, 15
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Menu.cs", "C#", 11, 0, 0, 1, 4, 16
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\GLOBAL_VARS.cs", "C#", 74, 0, 0, 0, 13, 87
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\IDScript.cs", "C#", 14, 0, 0, 2, 8, 24
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Stomper\Control Scripts\scr_Goober_HitEffect.cs", "C#", 33, 0, 0, 0, 5, 38
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Stomper\Control Scripts\scr_Goober_Main.cs", "C#", 12, 0, 0, 2, 5, 19
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Run_Hat.cs", "C#", 22, 0, 0, 3, 11, 36
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Skid_Hat.cs", "C#", 23, 0, 0, 1, 9, 33
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Sprint_Hat.cs", "C#", 31, 0, 0, 2, 6, 39
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Throw_Hat.cs", "C#", 21, 0, 0, 3, 9, 33
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Walking_Hat.cs", "C#", 29, 0, 0, 4, 8, 41
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_fastMove_prepThrow_Hat.cs", "C#", 21, 0, 0, 3, 10, 34
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_prepThrow_Hat.cs", "C#", 15, 0, 0, 1, 4, 20
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_slowMove_prepThrow_Hat.cs", "C#", 21, 0, 0, 3, 9, 33
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainbody_Fall_Hat.cs", "C#", 39, 0, 0, 1, 8, 48
