Date : 2024-07-27 20:07:23
Directory : c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight
Total : 93 files,  7901 codes, 1110 comments, 2246 blanks, all 11257 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| C#        |         73 |      4,898 |      1,028 |      1,598 |      7,524 |
| Shaderlab |         17 |      2,338 |         82 |        644 |      3,064 |
| JSON      |          3 |        665 |          0 |          4 |        669 |
+-----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                          |         93 |      7,901 |      1,110 |      2,246 |     11,257 |
| Assets                                                                                                                                                                                                     |         91 |      7,391 |      1,110 |      2,244 |     10,745 |
| Assets\Resources                                                                                                                                                                                           |         39 |      1,889 |        266 |        405 |      2,560 |
| Assets\Resources\PlaceableElements                                                                                                                                                                         |         39 |      1,889 |        266 |        405 |      2,560 |
| Assets\Resources\PlaceableElements (Files)                                                                                                                                                                 |          2 |         88 |          2 |         21 |        111 |
| Assets\Resources\PlaceableElements\Controllers                                                                                                                                                             |          7 |        235 |         25 |         44 |        304 |
| Assets\Resources\PlaceableElements\Controllers (Files)                                                                                                                                                     |          3 |         40 |          4 |         11 |         55 |
| Assets\Resources\PlaceableElements\Controllers\BoundBoxes                                                                                                                                                  |          2 |         31 |          0 |          4 |         35 |
| Assets\Resources\PlaceableElements\Controllers\Main(GLOBALS)                                                                                                                                               |          2 |        164 |         21 |         29 |        214 |
| Assets\Resources\PlaceableElements\Objects                                                                                                                                                                 |         30 |      1,566 |        239 |        340 |      2,145 |
| Assets\Resources\PlaceableElements\Objects\Entities                                                                                                                                                        |         22 |        991 |        117 |        218 |      1,326 |
| Assets\Resources\PlaceableElements\Objects\Entities\Stomper                                                                                                                                                |          2 |         45 |          2 |         10 |         57 |
| Assets\Resources\PlaceableElements\Objects\Entities\Stomper\Control Scripts                                                                                                                                |          2 |         45 |          2 |         10 |         57 |
| Assets\Resources\PlaceableElements\Objects\Entities\playerEntities                                                                                                                                         |         20 |        946 |        115 |        208 |      1,269 |
| Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody                                                                                                                                |         16 |        815 |        110 |        186 |      1,111 |
| Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations                                                                                                                     |         13 |        321 |         25 |         96 |        442 |
| Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Control Scripts                                                                                                                |          3 |        494 |         85 |         90 |        669 |
| Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat                                                                                                                                 |          4 |        131 |          5 |         22 |        158 |
| Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Animations                                                                                                                      |          1 |         22 |          1 |          5 |         28 |
| Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Control Scripts                                                                                                                 |          3 |        109 |          4 |         17 |        130 |
| Assets\Resources\PlaceableElements\Objects\Scripts                                                                                                                                                         |          8 |        575 |        122 |        122 |        819 |
| Assets\Resources\PlaceableElements\Objects\Scripts\AnimationController                                                                                                                                     |          2 |        129 |         32 |         28 |        189 |
| Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts                                                                                                                                           |          6 |        446 |         90 |         94 |        630 |
| Assets\TextMesh Pro                                                                                                                                                                                        |         52 |      5,502 |        844 |      1,839 |      8,185 |
