"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\BoundBoxes\scr_passThroughFloor.cs", "C#", -17, 0, -2, -19
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\BoundBoxes\scr_solidWall.cs", "C#", -14, 0, -2, -16
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\Main(GLOBALS)\scr_entityController.cs", "C#", -107, -16, -16, -139
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\Main(GLOBALS)\scr_levelController.cs", "C#", -57, -5, -13, -75
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Button_Press.cs", "C#", -18, -1, -5, -24
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Camera.cs", "C#", -11, -2, -2, -15
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Controllers\scr_Menu.cs", "C#", -11, -1, -4, -16
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\GLOBAL_VARS.cs", "C#", 41, 1, 7, 49
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\IDScript.cs", "C#", -1, 0, -1, -2
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\BoundBoxes\scr_passThroughFloor.cs", "C#", 27, 0, 3, 30
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\BoundBoxes\scr_solidWall.cs", "C#", 24, 0, 3, 27
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\gameControllers\scr_cameraController.cs", "C#", 80, 16, 21, 117
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\gameControllers\scr_dataSaveController.cs", "C#", 4, 0, 2, 6
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\gameControllers\scr_entityController.cs", "C#", 140, 26, 25, 191
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\gameControllers\scr_gameController.cs", "C#", 160, 15, 31, 206
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\gameControllers\scr_menuController.cs", "C#", 99, 14, 20, 133
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\gameControllers\scr_musicController.cs", "C#", 4, 0, 2, 6
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\gameControllers\scr_transitionController.cs", "C#", 24, 0, 4, 28
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\scr_ClickButton.cs", "C#", 46, 8, 10, 64
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Controllers\scr_camSpot.cs", "C#", 14, 0, 1, 15
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Stomper\Control Scripts\scr_Goober_HitEffect.cs", "C#", -1, 0, -1, -2
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Throw_Hat.cs", "C#", 6, -1, 0, 5
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_prepThrow_Hat.cs", "C#", -1, -1, 0, -2
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Control Scripts\scr_Anim_mainBody_template.cs", "C#", 1, 0, 0, 1
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Control Scripts\scr_animController_mainBody.cs", "C#", 0, 0, -1, -1
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainBody\Control Scripts\scr_mainBody_Main.cs", "C#", 39, 7, 21, 67
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Control Scripts\scr_Anim_mainHat_template.cs", "C#", -1, 0, -1, -2
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\playerEntities\mainHat\Control Scripts\scr_mainHat_Main.cs", "C#", 205, 17, 25, 247
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\AnimationController\scr_animController.cs", "C#", 0, 1, -1, 0
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\AnimationController\scr_animations.cs", "C#", -16, 3, -2, -15
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_Acceleration_Component.cs", "C#", -1, 0, 0, -1
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_ArrowCreator_Component.cs", "C#", 25, 1, 6, 32
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_BaseEntity_Main.cs", "C#", 3, 9, 5, 17
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_Effect_Script.cs", "C#", 1, 0, 2, 3
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\EntityScripts\scr_Raycast_Component.cs", "C#", -14, 19, -6, -1
"c:\Users\thele\OneDrive\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Scripts\scr_BaseObject.cs", "C#", 5, 0, 1, 6
"Total", "-", 678, 110, 132, 920
