"filename", "language", "Shaderlab", "JSON", "C#", "comment", "blank", "total"
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\AnimationController\scr_animController.cs", "C#", 0, 0, 32, 8, 9, 49
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\AnimationController\scr_animations.cs", "C#", 0, 0, 81, 28, 16, 125
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\EntityScripts\scr_Acceleration_Component.cs", "C#", 0, 0, 62, 3, 13, 78
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\EntityScripts\scr_ArrowCreator_Component.cs", "C#", 0, 0, 132, 17, 25, 174
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\EntityScripts\scr_BaseEntity_Functions.cs", "C#", 0, 0, 12, 1, 3, 16
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\EntityScripts\scr_BaseEntity_Main.cs", "C#", 0, 0, 87, 26, 25, 138
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\EntityScripts\scr_Effect_Script.cs", "C#", 0, 0, 36, 3, 8, 47
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\EntityScripts\scr_Raycast_Component.cs", "C#", 0, 0, 131, 69, 27, 227
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\GlobalScripts\GLOBAL_VARS.cs", "C#", 0, 0, 170, 4, 20, 194
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\GlobalScripts\IDScript.cs", "C#", 0, 0, 13, 2, 7, 22
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\ScriptableObjects\so_sceneInfo.cs", "C#", 0, 0, 9, 1, 1, 11
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Base Scripts\scr_BaseObject.cs", "C#", 0, 0, 5, 0, 1, 6
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\BoundBoxes\scr_passThroughFloor.cs", "C#", 0, 0, 27, 0, 3, 30
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\BoundBoxes\scr_solidWall.cs", "C#", 0, 0, 24, 0, 3, 27
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\Stomper\Control Scripts\scr_Goober_HitEffect.cs", "C#", 0, 0, 32, 0, 4, 36
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\Stomper\Control Scripts\scr_Goober_Main.cs", "C#", 0, 0, 378, 71, 66, 515
"c:\Users\thele\Documents\GameDev\UnityProjects\BeneathTheLight\Assets\Resources\PlaceableElements\Objects\Entities\Living Entities\playerEntities\mainBody\Animations\scr_Anim_mainBody_Run_Hat.cs", "C#", 0, 0, 22, 3, 11, 36
